timestamp,flowRate,rpm,vibration,suctionPressure,dischargePressure,motorTemp,status,faultType
2026-05-01T05:04:54Z,184.8,2376.0,2.7,1.7,7.3,41.3,RUNNING,
2026-05-01T05:04:55Z,182.3,2385.6,2.6,1.7,7.4,41.0,RUNNING,
2026-05-01T05:04:56Z,180.4,2352.8,2.6,1.7,7.2,41.0,RUNNING,
2026-05-01T05:04:57Z,181.5,2355.4,2.7,1.7,7.2,41.0,RUNNING,
2026-05-01T05:04:58Z,176.8,2308.5,2.5,1.7,7.0,40.3,RUNNING,
2026-05-01T05:04:59Z,180.3,2338.7,2.5,1.7,7.2,40.5,RUNNING,
2026-05-01T05:05:00Z,177.6,2336.5,2.6,1.7,7.2,40.5,RUNNING,
2026-05-01T05:05:01Z,178.4,2334.9,2.7,1.7,7.1,40.8,RUNNING,
2026-05-01T05:05:02Z,177.3,2335.2,2.6,1.7,7.1,40.7,RUNNING,
2026-05-01T05:05:03Z,178.2,2337.6,2.5,1.7,7.1,40.5,RUNNING,
2026-05-01T05:05:04Z,179.7,2347.9,2.6,1.7,7.2,40.7,RUNNING,
2026-05-01T05:05:05Z,180.4,2351.2,2.5,1.7,7.2,40.7,RUNNING,
2026-05-01T05:05:06Z,180.4,2364.3,2.5,1.7,7.3,41.1,RUNNING,
2026-05-01T05:05:07Z,181.4,2352.9,2.6,1.7,7.2,40.9,RUNNING,
2026-05-01T05:05:08Z,177.4,2336.0,2.6,1.7,7.1,40.4,RUNNING,
2026-05-01T05:05:09Z,178.0,2326.5,2.6,1.7,7.2,40.0,RUNNING,
2026-05-01T05:05:10Z,177.7,2342.2,2.5,1.7,7.3,40.4,RUNNING,
2026-05-01T05:05:11Z,179.4,2341.2,2.5,1.7,7.1,40.4,RUNNING,
2026-05-01T05:05:12Z,178.9,2329.1,2.5,1.7,7.1,40.4,RUNNING,
2026-05-01T05:05:13Z,178.0,2326.6,2.5,1.7,7.1,40.5,RUNNING,
2026-05-01T05:05:14Z,180.7,2344.0,2.5,1.7,7.3,40.8,RUNNING,
2026-05-01T05:05:15Z,179.3,2358.4,2.5,1.7,7.2,40.8,RUNNING,
2026-05-01T05:05:16Z,179.8,2336.6,2.6,1.8,7.1,40.5,RUNNING,
2026-05-01T05:05:17Z,175.6,2325.4,2.5,1.7,7.1,40.2,RUNNING,
2026-05-01T05:05:18Z,175.8,2335.6,2.6,1.7,7.1,40.6,RUNNING,
2026-05-01T05:05:19Z,175.8,2332.7,2.7,1.7,7.1,40.2,RUNNING,
2026-05-01T05:05:20Z,179.8,2338.8,2.6,1.7,7.1,40.5,RUNNING,
2026-05-01T05:05:21Z,180.2,2351.4,2.7,1.7,7.1,40.6,RUNNING,
2026-05-01T05:05:22Z,173.8,2304.5,2.6,1.7,7.0,39.9,RUNNING,
2026-05-01T05:05:23Z,174.9,2314.3,2.5,1.7,6.9,40.3,RUNNING,
2026-05-01T05:05:24Z,176.0,2315.9,2.7,1.7,7.0,40.4,RUNNING,
2026-05-01T05:05:25Z,177.8,2322.5,2.6,1.7,7.2,40.2,RUNNING,
2026-05-01T05:05:26Z,178.4,2341.4,2.6,1.7,7.1,40.5,RUNNING,
2026-05-01T05:05:27Z,180.4,2339.2,2.6,1.7,7.1,40.7,RUNNING,
2026-05-01T05:05:28Z,178.2,2326.7,2.6,1.7,7.2,40.4,RUNNING,
2026-05-01T05:05:29Z,181.5,2335.0,2.6,1.7,7.1,40.5,RUNNING,
2026-05-01T05:05:30Z,179.1,2353.6,2.5,1.7,7.2,40.6,RUNNING,
2026-05-01T05:05:31Z,176.9,2346.0,2.5,1.7,7.3,40.3,RUNNING,
2026-05-01T05:05:32Z,181.7,2366.9,2.5,1.7,7.2,40.8,RUNNING,
2026-05-01T05:05:33Z,180.6,2371.1,2.6,1.7,7.3,40.9,RUNNING,
2026-05-01T05:05:34Z,180.3,2369.2,2.5,1.7,7.3,41.0,RUNNING,
2026-05-01T05:05:35Z,175.8,2315.0,2.6,1.7,7.1,40.5,RUNNING,
2026-05-01T05:05:36Z,175.5,2321.1,2.6,1.7,7.1,40.5,RUNNING,
2026-05-01T05:05:37Z,178.4,2319.5,2.4,1.7,7.1,40.4,RUNNING,
2026-05-01T05:05:38Z,177.1,2325.1,2.5,1.7,7.1,40.6,RUNNING,
2026-05-01T05:05:39Z,174.6,2308.7,2.5,1.7,7.0,40.3,RUNNING,
2026-05-01T05:05:40Z,173.2,2296.9,2.5,1.8,7.0,39.8,RUNNING,
2026-05-01T05:05:41Z,173.9,2280.1,2.4,1.8,6.9,39.9,RUNNING,
2026-05-01T05:05:42Z,172.4,2270.5,2.5,1.8,6.9,39.4,RUNNING,
2026-05-01T05:05:43Z,172.5,2267.9,2.5,1.8,7.0,39.5,RUNNING,
2026-05-01T05:05:44Z,173.2,2271.0,2.5,1.8,6.8,39.4,RUNNING,
2026-05-01T05:05:45Z,170.2,2246.4,2.3,1.8,6.8,39.1,RUNNING,
2026-05-01T05:05:46Z,169.2,2234.9,2.4,1.8,6.7,38.9,RUNNING,
2026-05-01T05:05:47Z,169.2,2234.5,2.4,1.8,6.8,39.1,RUNNING,
2026-05-01T05:05:48Z,165.8,2218.2,2.4,1.8,6.7,38.6,RUNNING,
2026-05-01T05:05:49Z,167.6,2214.8,2.3,1.8,6.6,38.7,RUNNING,
2026-05-01T05:05:50Z,167.8,2224.2,2.4,1.8,6.8,38.7,RUNNING,
2026-05-01T05:05:51Z,171.5,2232.2,2.4,1.8,6.8,39.1,RUNNING,
2026-05-01T05:05:52Z,165.1,2182.0,2.3,1.9,6.5,38.4,RUNNING,
2026-05-01T05:05:53Z,162.0,2164.7,2.3,1.9,6.4,37.8,RUNNING,
2026-05-01T05:05:54Z,162.5,2183.3,2.3,1.9,6.6,38.5,RUNNING,
2026-05-01T05:05:55Z,162.6,2178.2,2.4,1.9,6.5,38.2,RUNNING,
2026-05-01T05:05:56Z,166.6,2172.5,2.4,1.9,6.5,38.3,RUNNING,
2026-05-01T05:05:57Z,161.2,2169.8,2.4,1.9,6.5,38.1,RUNNING,
2026-05-01T05:05:58Z,166.1,2192.3,2.3,1.8,6.6,38.3,RUNNING,
2026-05-01T05:05:59Z,169.5,2221.0,2.4,1.8,6.7,38.9,RUNNING,
2026-05-01T05:06:00Z,166.1,2216.7,2.3,1.8,6.7,39.1,RUNNING,
2026-05-01T05:06:01Z,170.4,2238.5,2.3,1.8,6.7,39.0,RUNNING,
2026-05-01T05:06:02Z,168.9,2242.6,2.4,1.8,6.7,39.0,RUNNING,
2026-05-01T05:06:03Z,171.0,2265.2,2.4,1.8,6.8,39.4,RUNNING,
2026-05-01T05:06:04Z,167.8,2230.4,2.3,1.8,6.7,38.8,RUNNING,
2026-05-01T05:06:05Z,169.1,2228.5,2.5,1.8,6.8,39.0,RUNNING,
2026-05-01T05:06:06Z,168.4,2225.0,2.5,1.8,6.7,39.1,RUNNING,
2026-05-01T05:06:07Z,171.4,2247.3,2.3,1.8,6.8,38.9,RUNNING,
2026-05-01T05:06:08Z,165.0,2207.1,2.3,1.9,6.7,38.4,RUNNING,
2026-05-01T05:06:09Z,166.7,2232.2,2.4,1.8,6.8,38.8,RUNNING,
2026-05-01T05:06:10Z,169.3,2247.9,2.4,1.8,6.8,39.2,RUNNING,
2026-05-01T05:06:11Z,172.9,2267.6,2.5,1.8,6.9,39.7,RUNNING,
2026-05-01T05:06:12Z,173.5,2271.0,2.4,1.8,6.9,39.4,RUNNING,
2026-05-01T05:06:13Z,175.7,2286.3,2.5,1.7,7.0,39.9,RUNNING,
2026-05-01T05:06:14Z,171.8,2279.7,2.5,1.8,6.9,39.5,RUNNING,
2026-05-01T05:06:15Z,171.8,2258.4,2.4,1.8,6.8,39.3,RUNNING,
